Wavelength(um),SEBSControl,05um,1um,2um,4um,8um
2.5,0,0,0,0,0.0001496568313,0
2.501,0,0,0,0,0.0001036109612,0
2.502,0,0,0,0,0.000102920257,0
2.503,0,0,0,0,0.0001524195161,0
2.504,0,0,0,0,0.0001268643907,0
2.505,0,0,0,0,0,0
2.506,0,0,0,0,0,0
2.507,0,0,0,0,0,0
2.508,0,0,0,0,0,0
2.509,0,0,0,0,0,0
2.51,0,0,0,0,0,0
2.511,0,0,0,0,0,0
2.512,0,0,0,0,0,0
2.513,0,0,0,0,0,0
2.514,0,0,0,0,0,0
2.515,0,0,0,0,0,0
2.516,0,0,0,0,0,0
2.517,0,0,0,0,0,0
2.518,0,0,0,0,0,0
2.519,0,0,0,0,0,0
2.52,0,0,0,0,0,0
2.521,0,0,0,0,0,0
2.522,0,0,0,0,0,0
2.523,0,0,0,0,0,0
2.524,0,0,0,0,0,0
2.525,0,0,0,0,0,0
2.526,0,0,0,0,0,0
2.527,0,0,0,0,0,0
2.528,0,0,0,0,0,0
2.529,0,0,0,0,0,0
2.53,0,0,0,0,0,0
2.531,0,0,0,0,0,0
2.532,0,0,0,0,0,0
2.533,0,0,0,0,0,0
2.534,0,0,0,0,0,0
2.535,0,0,0,0,0,0
2.536,0,0,0,0,0,0
2.537,0,0,0,0,0,0
2.538,0,0,0,0,0,0
2.539,0,0,0,0,0,0
2.54,0,0,0,0,0,0
2.541,0,0,0,0,0,0
2.542,0,0,0,0,0,0
2.543,0,0,0,0,0,0
2.544,0,0,0,0,0,0
2.545,0,0,0,0,0,0
2.546,0,0,0,0,0,0
2.547,0,0,0,0,0,0
2.548,0,0,0,0,0,0
2.549,0,0,0,0,0,0
2.55,0,0,0,0,0,0
2.551,0,0,0,0,0,0
2.552,0,0,0,0,0,0
2.553,0,0,0,0,0,0
2.554,0,0,0,0,0,0
2.555,0,0,0,0,0,0
2.556,0,0,0,0,0,0
2.557,0,0,0,0,0,0
2.558,0,0,0,0,0,0
2.559,0,0,0,0,0,0
2.56,0,0,0,0,0,0
2.561,0,0,0,0,0,0
2.562,0,0,0,0,0,0
2.563,0,0,0,0,0,0
2.564,0,0,0,0,0,0
2.565,0,0,0,0,0,0
2.566,0,0,0,0,0,0
2.567,0,0,0,0,0,0
2.568,0,0,0,0,0,0
2.569,0,0,0,0,0,0
2.57,0,0,0,0,0,0
2.571,0,0,0,0,0,0
2.572,0,0,0,0,0,0
2.573,0,0,0,0,0,0
2.574,0,0,0,0,0,0
2.575,0,0,0,0,0,0
2.576,0,0,0,0,0,0
2.577,0,0,0,0,0,0
2.578,0,0,0,0,0,0
2.579,0,0,0,0,0,0
2.58,0,0,0,0,0,0
2.581,0,0,0,0,0,0
2.582,0,0,0,0,0,0
2.583,0,0,0,0,0,0
2.584,0,0,0,0,0,0
2.585,0,0,0,0,0,0
2.586,0,0,0,0,0,0
2.587,0,0,0,0,0,0
2.588,0,0,0,0,0,0
2.589,0,0,0,0,0,0
2.59,0,0,0,0,0,0
2.591,0,0,0,0,0,0
2.592,0,0,0,0,0,0
2.593,0,0,0,0,0,0
2.594,0,0,0,0,0,0
2.595,0,0,0,0,0,0
2.596,0,0,0,0,0,0
2.597,0,0,0,0,0,0
2.598,0,0,0,0,0,0
2.599,0,0,0,0,0,0
2.6,0,0,0,0,0,0
2.601,0,0,0,0,0,0
2.602,0,0,0,0,0,0
2.603,0,0,0,0,0,0
2.604,0,0,0,0,0,0
2.605,0,0,0,0,0,0
2.606,0,0,0,0,0,0
2.607,0,0,0,0,0,0
2.608,0,0,0,0,0,0
2.609,0,0,0,0,0,0
2.61,0,0,0,0,0,0
2.611,0,0,0,0,0,0
2.612,0,0,0,0,0,0
2.613,0,0,0,0,0,0
2.614,0,0,0,0,0,0
2.615,0,0,0,0,0,0
2.616,0,0,0,0,0,0
2.617,0,0,0,0,0,0
2.618,0,0,0,0,0,0
2.619,0,0,0,0,0,0
2.62,0,0,0,0,0,0
2.621,0,0,0,0,0,0
2.622,0,0,0,0,0,0
2.623,0,0,0,0,0,0
2.624,0,0,0,0,0,0
2.625,0,0,0,0,0,0
2.626,0,0,0,0,0,0
2.627,0,0,0,0,0,0
2.628,0,0,0,0,0,0
2.629,0,0,0,0,0,0
2.63,0,0,0,0,0,0
2.631,0,0,0,0,0,0
2.632,0,0,0,0,0,0
2.633,0,0,0,0,0,0
2.634,0,0,0,0,0,0
2.635,0,0,0,0,0,0
2.636,0,0,0,0,0,0
2.637,0,0,0,0,0,0
2.638,0,0,0,0,0,0
2.639,0,0,0,0,0,0
2.64,0,0,0,0,0,0
2.641,0,0,0,0,0,0
2.642,0,0,0,0,0,0
2.643,0,0,0,0,0,0
2.644,0,0,0,0,0,0
2.645,0,0,0,0,0,0
2.646,0,0,0,0,0,0
2.647,0,0,0,0,0,0
2.648,0,0,0,0,0,0
2.649,0,0,0,0,0,0
2.65,0,0,0,0,0,0
2.651,0,0,0,0,0,0
2.652,0,0,0,0,0,0
2.653,0,0,0,0,0,0
2.654,0,0,0,0,0,0
2.655,0,0,0,0,0,0
2.656,0,0,0,0,0,0
2.657,0,0,0,0,0,0
2.658,0,0,0,0,0,0
2.659,0,0,0,0,0,0
2.66,0,0,0,0,0,0
2.661,0,0,0,0,0,0
2.662,0,0,0,0,0,0
2.663,0,0,0,0,0,0
2.664,0,0,0,0,0,0
2.665,0,0,0,0,0,0
2.666,0,0,0,0,0,0
2.667,0,0,0,0,0,0
2.668,0,0,0,0,0,0
2.669,0,0,0,0,0,0
2.67,0,0,0,0,0,0
2.671,0,0,0,0,0,0
2.672,0,0,0,0,0,0
2.673,0,0,0,0,0,0
2.674,0,0,0,0,0,0
2.675,0,0,0,0,0,0
2.676,0,0,0,0,0,0
2.677,0,0,0,0,0,0
2.678,0,0,0,0,0,0
2.679,0,0,0,0,0,0
2.68,0,0,0,0,0,0
2.681,0,0,0,0,0,0
2.682,0,0,0,0,0,0
2.683,0,0,0,0,0,0
2.684,0,0,0,0,0,0
2.685,0,0,0,0,0,0
2.686,0,0,0,0,0,0
2.687,0,0,0,0,0,0
2.688,0,0,0,0,0,0
2.689,0,0,0,0,0,0
2.69,0,0,0,0,0,0
2.691,0,0,0,0,0,0
2.692,0,0,0,0,0,0
2.693,0,0,0,0,0,0
2.694,0,0,0,0,0,0
2.695,0,0,0,0,0,0
2.696,0,0,0,0,0,0
2.697,0,0,0,0,0,0
2.698,0,0,0,0,0,0
2.699,0,0,0,0,0,0
2.7,0,0,0,0,0,0
2.701,0,0,0,0,0,0
2.702,0,0,0,0,0,0
2.703,0,0,0,0,0,0
2.704,0,0,0,0,0,0
2.705,0,0,0,0,0,0
2.706,0,0,0,0,0,0
2.707,0,0,0,0,0,0
2.708,0,0,0,0,0,0
2.709,0,0,0,0,0,0
2.71,0,0,0,0,0,0
2.711,0,0,0,0,0,0
2.712,0,0,0,0,0,0
2.713,0,0,0,0,0,0
2.714,0,0,0,0,0,0
2.715,0,0,0,0,0,0
2.716,0,0,0,0,0,0
2.717,0,0,0,0,0,0
2.718,0,0,0,0,0,0
2.719,0,0,0,0,0,0
2.72,0,0,0,0,0,0
2.721,0,0,0,0,0,0
2.722,0,0,0,0,0,0
2.723,0,0,0,0,0,0
