eps_s,eps_t,Equilibrium Temperature Difference (T_eq - T_atm)
0.0,0.0,0
0.0,0.01,-0.20194518058627864
0.0,0.02,-0.40137360338610506
0.0,0.03,-0.5983391594514842
0.0,0.04,-0.7928940637700634
0.0,0.05,-0.9850889239795606
0.0,0.06,-1.1749728056116169
0.0,0.07,-1.3625932940432222
0.0,0.08,-1.5479965533585869
0.0,0.09,-1.7312273823047235
0.0,0.1,-1.9123292675058678
0.0,0.11,-2.09134443413609
0.0,0.12,-2.2683138940957974
0.0,0.13,-2.44327749197123
0.0,0.14,-2.6162739487989484
0.0,0.15,-2.787340903793222
0.0,0.16,-2.9565149541857636
0.0,0.17,-3.123831693170814
0.0,0.18,-3.289325746209215
0.0,0.19,-3.4530308056656054
0.0,0.2,-3.6149796639141982
0.0,0.21,-3.7752042449803866
0.0,0.22,-3.933735634833056
0.0,0.23,-4.090604110301513
0.0,0.24,-4.245839166818655
0.0,0.25,-4.399469544943486
0.0,0.26,-4.551523255809684
0.0,0.27,-4.7020276054347505
0.0,0.28,-4.851009218099591
0.0,0.29,-4.998494058727715
0.0,0.3,-5.144507454352947
0.0,0.31,-5.289074114756886
0.0,0.32,-5.432218152202779
0.0,0.33,-5.573963100463175
0.0,0.34,-5.71433193305603
0.0,0.35,-5.853347080776302
0.0,0.36,-5.991030448540414
0.0,0.37,-6.12740343161272
0.0,0.38,-6.26248693114826
0.0,0.39,-6.396301369211471
0.0,0.4,-6.5288667031957175
0.0,0.41,-6.660202439704847
0.0,0.42,-6.790327647952552
0.0,0.43,-6.919260972601876
0.0,0.44,-7.047020646204373
0.0,0.45,-7.173624501152858
0.0,0.46,-7.299089981204304
0.0,0.47,-7.423434152625987
0.0,0.48,-7.546673714874544
0.0,0.49,-7.668825010971943
0.0,0.5,-7.789904037481449
0.0,0.51,-7.909926454144397
0.0,0.52,-8.028907593177905
0.0,0.53,-8.146862468287452
0.0,0.54,-8.263805783305088
0.0,0.55,-8.379751940605559
0.0,0.56,-8.494715049203478
0.0,0.57,-8.608708932588627
0.0,0.58,-8.721747136295676
0.0,0.59,-8.833842935255518
0.0,0.6,-8.945009340843171
0.0,0.61,-9.05525910776197
0.0,0.62,-9.16460474067253
0.0,0.63,-9.273058500615605
0.0,0.64,-9.380632411224838
0.0,0.65,-9.487338264773712
0.0,0.66,-9.593187627968746
